Rank,Coin Name,Symbol,Price,Market Cap,Volume (24h),24h % Change,7d % Change,30d % Change,1y % Change
65,"Gate",GT,17.51,2091495232,13915373,2.5938719860302992,11.271766622609466,4.5267725467254065,123.64347514595562
18,"Hedera",HBAR,0.268735,11385169028,586915685,1.0281924305773031,11.221929616891844,85.89080925181418,259.33567430040694
6,"Solana",SOL,179.15,96368364575,14110992061,1.0119970270563432,11.163963651661287,27.90439462664393,3.161716662911926
50,"Jito Staked SOL",JITOSOL,218.14,2899034659,43299893,1.0330613693085855,11.16274795867398,28.61588182970739,11.498706035386506
67,"Sei",SEI,0.351973,2032971101,225886751,0.32682175623331566,11.091417593325668,72.50700888704871,-11.480349076182579
28,"Polkadot",DOT,4.42,6734594386,492612475,1.050314064256846,11.045480867052667,28.689154285526907,-30.151196024859534
16,"Sui",SUI,3.87,13333372347,1503304840,0.8889732534924479,10.961037180417682,42.623972833219845,356.2844630665295
63,"Official Trump",TRUMP,10.57,2113206055,954375786,4.036592660816297,10.730900939470466,15.043450397433958,
91,"Fartcoin",FARTCOIN,1.41,1406802962,260756496,-2.2491269907296836,10.034845851524903,51.63406180265069,
55,"Algorand",ALGO,0.289862,2510593646,128830905,-0.010023761202265275,9.78623988988954,73.49760772018735,82.50313292600401
93,"Stacks",STX,0.861182,1367079929,40557218,2.2651566224983557,9.466089643435897,40.87769336268557,-54.937253425292454
79,"Jupiter",JUP,0.551627,1657220889,66237931,1.26462091735928,9.373269070043404,45.61360096626543,-46.76087144165055
26,"Toncoin",TON,3.24,8019734006,239846552,2.0204530463820762,9.226569276765742,10.489347433252608,-55.3191574151791
58,"Cosmos Hub",ATOM,5.11,2346783463,149795942,2.0167108174182964,9.05652169116562,30.053827893324414,-21.70402378416866
47,"Internet Computer",ICP,5.91,3166883085,91122602,2.2237452437993808,8.171859267597412,20.003297928760215,-42.80998147890178
5,"BNB",BNB,748.22,109141408519,1860214863,2.0297153237036256,8.120109782473731,16.624122059606197,25.974377334314823
66,"Artificial Superintelligence Alliance",FET,0.786942,2052665018,173953846,1.25359749468211,7.483096209145498,21.47883011841431,-46.05654903591004
19,"Bitcoin Cash",BCH,540.25,10752300348,659600949,4.450372224593277,6.383872059189874,14.088912384893549,36.72772564598944
60,"POL (ex-MATIC)",POL,0.247799,2232287536,138534370,3.2833586234554515,6.340541894881632,35.75804281105411,-54.078685735408364
44,"Aptos",APT,5.25,3431791906,362360912,-0.7393856867237901,6.202940779445179,22.900023758057642,-28.657646140709257
74,"Sky",SKY,0.083111,1767360669,3196840,0.11012095967767198,6.146100176815016,7.661075534536931,
68,"Pudgy Penguins",PENGU,0.03161044,1989362671,669118745,0.428340371878689,6.107299405594389,249.8612424926812,
81,"Jupiter Perpetuals Liquidity Provider Token",JLP,4.98,1557684932,46039309,0.5595202726394081,5.4146991249392125,16.18812716106311,56.17005414419749
83,"KuCoin",KCS,12.02,1532510778,4289466,0.2963483031975877,4.965631336579496,9.00131626407101,21.459320924189303
38,"Bittensor",TAO,410.78,3874296388,160386872,-1.1868641242734583,4.929756268854212,20.409919915480526,21.792068201084664
96,"NEXO",NEXO,1.35,1346216139,10417814,1.0967019096111275,4.854831445622128,12.620525628574022,7.149656423289703
37,"Aave",AAVE,320.24,4865632580,753886993,0.20912611663498848,4.576257378793696,29.443968302550743,223.33303994511752
11,"TRON",TRX,0.31174,29535307956,2628699335,-1.8296717555372821,2.8887821276586525,14.424892854019792,131.48758838865893
77,"Quant",QNT,116.69,1695917292,28083948,3.4849611288386617,1.37158040396233,20.887110309738343,54.06853128234965
70,"Fasttoken",FTN,4.52,1942609882,61354790,-0.06972187780036793,0.5831282285235402,1.381213584434094,96.55225091018433
49,"OKB",OKB,48.93,2935685901,19161403,0.10659887444059216,0.4567765255707074,-5.269650541975328,13.849166690793032
43,"Ethena Staked USDe",SUSDE,1.18,3616497219,49579502,0.015950658075847942,0.2858429762962274,0.603996118785721,9.372085349271359
71,"sUSDS",SUSDS,1.06,1779991759,18955709,-0.004926740633775065,0.07691789859028575,0.35551419529051514,
94,"USDT0",USDT0,1.002,1363264328,343245922,0.04888556402297096,0.06876811717017314,0.13799547600163908,
62,"USD1",USD1,1,2208209947,233464983,0.13471634223872755,0.05393853717558255,-0.004392111650062981,
29,"USDS",USDS,0.999919,6726661991,5305494,-0.007826992890436292,0.018357256267156816,0.027916281506577507,
4,"Tether",USDT,1,161659874768,135224502524,-0.004090169560956634,0.008960575149831675,0.03840432004566916,0.06581411172026091
40,"Dai",DAI,0.999993,3707876024,96400683,0.00628737821678783,0.0016450330168675492,0.022976681535821084,0.08892143977610029
52,"BlackRock USD Institutional Digital Liquidity Fund",BUIDL,1,2611946470,0,0,0,0,
84,"Pump.fun",PUMP,0.00418544,1482858726,481446532,2.416927002123796,,,
